"-73,-90","0,0","-9,-13","-22,-34","-29,-42","-38,-53","-51,-64","-56,-70","-61,-76","-65,-84","-69,-87"
"-41,-159","0,0","-9,-24","-21,-54","-27,-72","-30,-85","-33,-97","-35,-106","-37,-120","-39,-133","-41,-144"
"146,-132","0,0","26,-24","42,-41","73,-75","85,-88","92,-95","101,-101","109,-106","120,-111","134,-123"
"-135,119","0,0","-48,37","-70,60","-82,72","-92,80","-100,89","-108,98","-115,105","-121,110","-127,115"
"-96,-181","0,0","-34,-57","-51,-83","-54,-88","-58,-94","-67,-110","-76,-130","-85,-152","-90,-164","-93,-173"
"-36,-161","0,0","-13,-48","-18,-65","-20,-70","-22,-79","-32,-129","-37,-167","-37,-174","-37,-172","-37,-166"
"113,-88","0,0","25,-23","60,-50","70,-57","77,-61","86,-67","93,-70","99,-76","106,-83","109,-86"
"3,189","0,0","-6,54","-4,119","-2,142","-2,155","-2,169","-2,179","-2,186","-1,192","-1,197"
"119,197","0,0","41,61","79,110","85,121","90,133","101,153","105,162","107,168","109,175","111,181"
"-122,-21","0,0","-20,-5","-46,-13","-64,-17","-76,-19","-86,-21","-96,-22","-102,-22","-109,-22","-116,-21"
"70,113","0,0","12,26","46,71","60,92","64,98","65,101","68,106","70,111","73,115","74,118"
"64,-70","0,0","10,-13","16,-25","28,-41","37,-51","42,-56","46,-59","50,-63","55,-65","59,-68"
"-152,199","0,0","-67,55","-103,95","-125,121","-137,136","-148,150","-152,158","-155,169","-155,181","-154,191"
"-147,37","0,0","-22,5","-47,11","-69,19","-87,23","-101,29","-112,31","-122,33","-132,34","-140,36"
"-133,150","0,0","-36,36","-61,66","-74,82","-87,95","-97,106","-105,118","-116,129","-122,137","-126,142"
"-173,116","0,0","-50,20","-93,48","-120,69","-135,81","-144,88","-153,95","-162,103","-168,111","-173,116"
"-31,165","0,0","-16,49","-21,84","-24,98","-27,116","-29,124","-29,136","-31,149","-31,157","-31,165"
"44,56","0,0","6,13","12,22","15,26","20,33","27,40","32,44","34,48","39,52","44,56"
"-125,99","0,0","-24,12","-54,32","-77,52","-93,68","-104,80","-111,86","-117,90","-120,94","-123,96"
"-114,127","0,0","-33,30","-61,64","-78,86","-88,100","-95,108","-99,114","-103,118","-109,124","-114,127"
"-89,34","0,0","-7,2","-18,6","-34,11","-50,16","-61,22","-69,25","-74,27","-79,29","-82,30"
"143,106","0,0","24,12","66,38","93,54","103,61","107,65","110,68","117,75","128,88","135,96"
"184,161","0,0","45,29","93,62","110,75","125,89","142,104","154,118","170,141","178,151","181,156"
"11,-133","0,0","4,-29","6,-56","8,-69","8,-84","9,-98","9,-105","9,-114","11,-120","11,-127"
"182,174","0,0","42,50","70,86","96,116","121,146","133,159","140,165","149,172","160,176","170,176"
"-202,-115","0,0","-45,-20","-89,-44","-112,-56","-133,-70","-150,-82","-164,-91","-176,-99","-183,-103","-191,-107"
"-156,-41","0,0","-36,-10","-71,-21","-93,-26","-105,-30","-114,-33","-123,-36","-132,-39","-137,-40","-143,-40"
"-58,91","0,0","-8,13","-18,29","-27,41","-34,51","-40,61","-44,67","-47,73","-50,77","-52,81"
"-130,-123","0,0","-20,-17","-58,-52","-80,-75","-92,-89","-101,-99","-109,-107","-116,-113","-120,-117","-123,-120"
"-3,-69","0,0","0,-9","0,-24","0,-38","0,-46","0,-49","0,-52","-1,-55","-1,-58","-2,-60"
"-193,132","0,0","-45,13","-94,39","-131,68","-151,86","-164,100","-173,112","-181,122","-186,129","-188,132"
"197,10","0,0","60,2","135,13","179,18","206,18","221,18","228,18","225,14","218,14","205,12"
"-68,-26","0,0","-12,-4","-24,-7","-30,-11","-35,-13","-39,-15","-44,-17","-48,-20","-53,-21","-56,-23"
"100,-52","0,0","36,-22","47,-28","51,-30","61,-34","69,-37","74,-39","79,-42","84,-43","87,-46"
"179,-55","0,0","57,-24","102,-38","114,-40","122,-42","137,-45","154,-48","164,-50","170,-51","176,-53"
"-131,-197","0,0","-31,-55","-53,-93","-61,-106","-77,-128","-91,-146","-102,-158","-117,-178","-126,-191","-129,-195"
"-182,156","0,0","-56,39","-89,71","-110,93","-128,114","-139,128","-150,140","-156,145","-165,149","-177,154"
"-2,-130","0,0","-3,-60","-4,-78","-4,-85","-3,-92","-3,-103","-2,-113","-2,-120","-2,-125","-2,-130"
"-198,-39","0,0","-69,-25","-100,-34","-130,-41","-153,-45","-168,-46","-182,-46","-195,-46","-202,-44","-206,-42"
"-16,-46","0,0","-1,-5","-3,-12","-5,-18","-7,-25","-9,-30","-9,-34","-11,-37","-11,-40","-13,-42"
"31,-160","0,0","8,-20","19,-47","24,-68","27,-82","29,-97","32,-113","35,-127","36,-140","36,-148"
"-18,-125","0,0","-5,-30","-10,-60","-12,-70","-12,-79","-13,-90","-14,-99","-15,-107","-16,-114","-17,-120"
"189,129","0,0","71,62","101,88","117,101","134,114","144,121","154,124","169,126","180,129","189,129"
"169,83","0,0","18,5","64,29","94,48","106,55","120,61","130,68","140,74","150,78","160,81"
"103,-139","0,0","29,-46","45,-71","60,-93","76,-116","83,-124","87,-129","90,-132","93,-135","97,-137"
"48,-205","0,0","12,-49","26,-107","35,-147","40,-167","44,-179","45,-186","46,-191","47,-196","47,-201"
"86,149","0,0","15,28","43,69","57,90","62,100","68,111","74,124","78,131","81,135","84,143"
"197,88","0,0","37,15","92,40","123,57","137,63","152,69","171,75","182,79","188,81","191,83"
"-132,-39","0,0","-26,-10","-62,-26","-82,-33","-94,-37","-103,-39","-113,-41","-122,-41","-128,-43","-132,-43"
"100,3","0,0","19,0","45,0","70,0","80,0","85,0","88,1","92,2","96,3","100,3"
"-67,126","0,0","-20,27","-39,62","-48,85","-53,98","-57,108","-59,114","-61,118","-63,121","-65,124"
"97,-168","0,0","19,-24","48,-66","66,-94","74,-110","82,-126","90,-144","94,-153","96,-157","96,-161"
"-54,27","0,0","-8,3","-22,8","-31,13","-38,16","-43,20","-46,22","-49,24","-51,26","-54,27"
"-111,52","0,0","-13,4","-41,15","-63,25","-75,32","-84,38","-91,42","-97,45","-103,48","-107,50"
